OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
143,0.0089211,0.1991966,0.0007288,0.0014279,0.0046321,0.0100283,143,1307,1.0000000,62.0000000,1922.0000000,60.4916649,0.9936017,1841.2194824
144,0.0327310,0.0706236,0.0008304,0.0016952,0.0051634,0.0121129,144,1506,1.0000000,62.0000000,1922.0000000,60.6749992,0.9943920,1851.0139160
145,0.0218367,0.1945198,0.0008473,0.0016558,0.0044380,0.0084469,145,612,1.0000000,62.0000000,1922.0000000,60.4388885,0.9933155,1838.4000244
146,0.0255889,0.0811102,0.0014872,0.0032381,0.0106345,0.0294603,146,580,1.0000000,62.0000000,1922.0000000,60.7277794,0.9949148,1852.8833008
147,0.0046585,0.0374241,0.0012542,0.0026749,0.0080855,0.0183604,147,1,0.9995784,61.8055573,1910.8055420,49.2416649,0.9309290,1314.3083496
148,0.0060231,0.0964077,0.0010927,0.0021429,0.0055321,0.0120677,148,896,0.9995784,61.8055573,1910.8055420,50.3611107,0.9378251,1363.9832764
149,0.0081667,0.1984030,0.0011542,0.0022864,0.0059668,0.0136986,149,332,0.9997241,61.8499985,1913.2833252,51.7999992,0.9454521,1433.1944580
150,0.0038138,0.2027011,0.0010453,0.0020031,0.0048220,0.0092328,150,837,0.9997534,61.8722229,1914.6055908,53.2527771,0.9519576,1501.7416992
151,0.0050817,0.1556785,0.0010348,0.0020138,0.0050441,0.0097866,151,1018,0.9999537,61.9444427,1918.6611328,54.5999985,0.9560581,1566.5888672
152,0.0151933,0.2330820,0.0010105,0.0019742,0.0050577,0.0105753,152,145,0.9999913,61.9833336,1920.9832764,55.8777771,0.9634107,1624.6389160
153,0.0084597,0.1319875,0.0015809,0.0036431,0.0109595,0.0238841,153,745,0.9995522,61.7027779,1904.6361084,49.0638885,0.9307187,1320.9028320
154,0.0050878,0.1362021,0.0011188,0.0022851,0.0066984,0.0178625,154,705,0.9995950,61.7388878,1906.7944336,50.7305565,0.9399652,1397.2916260
155,0.0048258,0.1286886,0.0010556,0.0020542,0.0053371,0.0117560,155,1560,0.9999101,61.8777771,1914.6555176,52.2527771,0.9445255,1466.7916260
156,0.0074147,0.1824434,0.0011153,0.0022306,0.0058451,0.0114775,156,711,0.9999565,61.9500008,1918.9832764,53.7694435,0.9526808,1533.3806152
157,0.0087190,0.0766575,0.0012170,0.0025786,0.0081905,0.0196424,157,1204,0.9996836,61.8555565,1913.7055664,51.3055573,0.9403326,1431.6389160
158,0.0118688,0.2046793,0.0008935,0.0017314,0.0040776,0.0071671,158,1362,0.9999956,61.9916649,1921.4916992,56.7444458,0.9694274,1663.6166992
159,0.0126036,0.1155948,0.0008122,0.0015459,0.0038688,0.0075282,159,914,1.0000000,62.0000000,1922.0000000,57.4944458,0.9747995,1695.7332764
160,0.0139339,0.0731593,0.0008055,0.0015081,0.0036332,0.0066527,160,1462,1.0000000,62.0000000,1922.0000000,58.3055573,0.9804082,1733.1500244
161,0.0187032,0.1222153,0.0007631,0.0014031,0.0031850,0.0053950,161,275,1.0000000,62.0000000,1922.0000000,59.1277771,0.9870759,1770.5944824
162,0.0151296,0.1202128,0.0007465,0.0013433,0.0030709,0.0053782,162,1163,1.0000000,62.0000000,1922.0000000,59.8861122,0.9917996,1807.8360596
163,0.0070180,0.0531716,0.0007721,0.0014518,0.0035047,0.0063329,163,419,1.0000000,62.0000000,1922.0000000,60.0722237,0.9922250,1818.5056152
